"preset"	"theory"	"theorem"	"preset_constructs"	"cli_constructs"	"matched"	"preset_only"	"cli_only"
"Waldmeister"	"AbelianGroupAxioms"	"InverseOfInverse"	11	12	11	0	1
"Waldmeister"	"AbelianGroupAxioms"	"InverseOfComposite"	17	20	16	1	4
"Waldmeister"	"AbelianGroupAxioms"	"ImpliesMcCuneAxioms"	27	28	27	0	1
"Waldmeister"	"AbelianGroupAxioms"	"ImpliesAbelianMcCuneAxioms"	19	20	19	0	1
"Waldmeister"	"BooleanAxioms"	"DoubleNegation"	19	20	11	8	9
"Waldmeister"	"GroupAxioms"	"InverseOfInverse"	13	14	13	0	1
"Waldmeister"	"HillmanAxioms"	"Commutativity"	0	38	0	0	38
"Waldmeister"	"MeredithAxioms"	"Commutativity"	0	11	0	0	11
"VampireUEQ"	"AbelianGroupAxioms"	"InverseOfInverse"	11	12	4	7	8
"VampireUEQ"	"AbelianGroupAxioms"	"InverseOfComposite"	19	19	5	14	14
"VampireUEQ"	"AbelianGroupAxioms"	"ImpliesMcCuneAxioms"	23	33	6	17	27
"VampireUEQ"	"AbelianGroupAxioms"	"ImpliesAbelianMcCuneAxioms"	146	18	2	144	16
"VampireUEQ"	"BooleanAxioms"	"DoubleNegation"	15	27	8	7	19
"VampireUEQ"	"GroupAxioms"	"InverseOfInverse"	12	18	1	11	17
"VampireUEQ"	"HillmanAxioms"	"Commutativity"	48	20	0	48	20
"VampireUEQ"	"MeredithAxioms"	"Commutativity"	43	10	0	43	10
